year,quarter,gdp_growth_yoy_pct,night_light_mean,night_light_median,night_light_max,causeway_bay,central,central_western,kwai_chung,kwun_tong,mong_kok,north,sham_shui_po,shatin,southern,tai_po,tap_mun,tseung_kwan_o,tsuen_wan,tuen_mun,tung_chung,yuen_long,air_cargo_thousand_teu,air_cargo_yoy_pct
2021,Q1,8.0,10.5806,0.8400391,376.06744,196.66666666666666,158.66666666666666,56.0,91.66666666666667,82.33333333333333,145.0,57.666666666666664,84.66666666666667,51.333333333333336,44.333333333333336,50.333333333333336,13.666666666666666,38.666666666666664,69.33333333333333,80.0,43.666666666666664,67.66666666666667,4986.0,12.8
2021,Q2,7.6,10.798203,1.1996688,369.3081,178.66666666666666,129.33333333333334,31.333333333333332,92.33333333333333,68.33333333333333,141.0,36.333333333333336,58.0,33.666666666666664,36.333333333333336,36.0,9.333333333333334,33.333333333333336,59.666666666666664,43.666666666666664,23.666666666666668,40.333333333333336,4986.0,12.8
2021,Q3,5.5,10.223796,0.8554468,350.6318,214.66666666666666,151.33333333333334,35.333333333333336,91.0,77.66666666666667,151.0,46.666666666666664,65.33333333333333,41.333333333333336,39.0,41.666666666666664,10.666666666666666,40.666666666666664,61.333333333333336,46.0,27.333333333333332,53.0,4986.0,12.8
2021,Q4,4.8,10.294784,0.8111873,331.4434,207.33333333333334,160.0,43.666666666666664,69.33333333333333,73.66666666666667,119.66666666666667,61.333333333333336,65.33333333333333,43.666666666666664,39.333333333333336,48.0,12.666666666666666,29.0,56.333333333333336,67.66666666666667,43.666666666666664,64.66666666666667,4986.0,12.8
2022,Q1,-4.0,10.439144,0.76029205,740.4938,169.66666666666666,137.33333333333334,50.333333333333336,74.0,71.0,117.66666666666667,44.0,69.33333333333333,36.666666666666664,40.666666666666664,37.0,13.0,26.0,62.666666666666664,67.0,43.666666666666664,59.666666666666664,4169.0,-16.4
2022,Q2,-1.4,10.190116,0.84530187,403.18112,155.33333333333334,117.0,30.666666666666668,85.0,70.0,139.0,36.333333333333336,56.0,31.666666666666668,30.666666666666668,33.0,10.666666666666666,28.333333333333332,60.333333333333336,45.333333333333336,25.666666666666668,47.0,4169.0,-16.4
2022,Q3,-4.9,10.263023,0.8584321,313.7401,197.66666666666666,138.66666666666666,31.333333333333332,78.0,71.0,161.33333333333334,40.333333333333336,61.0,33.333333333333336,30.333333333333332,34.666666666666664,12.333333333333334,35.333333333333336,50.666666666666664,41.333333333333336,26.0,43.333333333333336,4169.0,-16.4
2022,Q4,-4.3,10.484783,0.8151056,314.9912,188.33333333333334,136.66666666666666,39.333333333333336,58.333333333333336,60.0,106.33333333333333,47.666666666666664,58.0,35.0,34.0,38.333333333333336,15.0,26.0,49.333333333333336,56.0,38.666666666666664,59.666666666666664,4169.0,-16.4
2023,Q1,2.9,10.026502,0.77140695,309.55823,184.0,144.0,46.333333333333336,77.33333333333333,60.666666666666664,132.0,44.333333333333336,67.33333333333333,37.333333333333336,37.333333333333336,36.333333333333336,14.666666666666666,30.0,60.0,62.0,41.0,55.0,4298.0,3.1
2023,Q2,1.5,9.423358,1.18317,297.77908,166.66666666666666,132.33333333333334,37.0,85.0,58.0,136.0,34.333333333333336,59.666666666666664,30.333333333333332,34.333333333333336,30.666666666666668,12.0,29.333333333333332,56.0,43.666666666666664,31.0,45.0,4298.0,3.1
