Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2021,Nitrogen Oxides,CAUSEWAY BAY,209,202,179,151,190,195,208,223,213,165,209,248
2021,Nitrogen Oxides,CENTRAL,189,150,137,111,133,144,141,159,154,121,175,184
2021,Nitrogen Oxides,CENTRAL/WESTERN,62,55,51,37,26,31,29,36,41,31,48,52
2021,Nitrogen Oxides,KWAI CHUNG,99,89,87,75,98,104,89,99,85,51,75,82
2021,Nitrogen Oxides,KWUN TONG,95,83,69,62,71,72,69,81,83,57,80,84
2021,Nitrogen Oxides,MONG KOK,156,147,132,132,143,148,144,158,151,98,134,127
2021,Nitrogen Oxides,NORTH,72,56,45,39,32,38,42,48,50,41,69,74
2021,Nitrogen Oxides,SHAM SHUI PO,94,87,73,63,49,62,58,66,72,51,70,75
2021,Nitrogen Oxides,SHATIN,68,48,38,35,33,33,34,47,43,26,51,54
2021,Nitrogen Oxides,SOUTHERN,49,42,42,34,35,40,36,43,38,29,41,48
2021,Nitrogen Oxides,TAI PO,63,48,40,36,34,38,39,45,41,34,52,58
2021,Nitrogen Oxides,TAP MUN,18,11,12,10,9,9,8,13,11,9,13,16
2021,Nitrogen Oxides,TSEUNG KWAN O,47,38,31,28,34,38,38,46,38,19,35,33
2021,Nitrogen Oxides,TSUEN WAN,79,67,62,54,62,63,58,68,58,42,59,68
2021,Nitrogen Oxides,TUEN MUN,105,72,63,51,38,42,39,50,49,43,73,87
2021,Nitrogen Oxides,TUNG CHUNG,56,39,36,27,21,23,22,26,34,29,46,56
2021,Nitrogen Oxides,YUEN LONG,88,62,53,44,36,41,47,54,58,44,70,80
2022,Nitrogen Oxides,CAUSEWAY BAY,174,177,158,142,144,180,175,204,214,163,150,252
2022,Nitrogen Oxides,CENTRAL,140,139,133,112,114,125,123,149,144,118,110,182
2022,Nitrogen Oxides,CENTRAL/WESTERN,49,48,54,37,29,26,24,35,35,30,37,51
2022,Nitrogen Oxides,KWAI CHUNG,72,64,86,74,72,109,85,80,69,52,55,68
2022,Nitrogen Oxides,KWUN TONG,68,69,76,64,68,78,69,73,71,53,50,77
2022,Nitrogen Oxides,MONG KOK,128,106,119,114,137,166,157,166,161,95,108,116
2022,Nitrogen Oxides,NORTH,57,37,38,36,38,35,34,41,46,37,42,64
2022,Nitrogen Oxides,SHAM SHUI PO,76,58,74,59,56,53,52,70,61,51,62,61
2022,Nitrogen Oxides,SHATIN,42,31,37,31,29,35,31,36,33,25,32,48
2022,Nitrogen Oxides,SOUTHERN,41,40,41,31,28,33,28,32,31,24,28,50
2022,Nitrogen Oxides,TAI PO,46,31,34,32,33,34,33,36,35,31,34,50
2022,Nitrogen Oxides,TAP MUN,14,11,14,12,10,10,12,12,13,12,14,19
2022,Nitrogen Oxides,TSEUNG KWAN O,27,19,32,25,23,37,32,37,37,22,23,33
2022,Nitrogen Oxides,TSUEN WAN,66,53,69,61,55,65,53,53,46,42,48,58
2022,Nitrogen Oxides,TUEN MUN,80,53,68,49,46,41,38,43,43,43,59,66
2022,Nitrogen Oxides,TUNG CHUNG,52,40,39,32,26,19,20,28,30,28,34,54
2022,Nitrogen Oxides,YUEN LONG,74,50,55,50,47,44,44,45,41,42,59,78
2023,Nitrogen Oxides,CAUSEWAY BAY,228,174,150,153,165,182,199,213,161,151,173,228
2023,Nitrogen Oxides,CENTRAL,164,131,137,129,128,140,146,153,122,113,129,165
2023,Nitrogen Oxides,CENTRAL/WESTERN,48,45,46,42,37,32,30,32,38,32,40,58
2023,Nitrogen Oxides,KWAI CHUNG,72,76,84,74,86,95,93,96,73,62,72,91
2023,Nitrogen Oxides,KWUN TONG,61,56,65,58,54,62,61,66,58,45,58,75
2023,Nitrogen Oxides,MONG KOK,131,124,141,132,130,146,144,141,125,104,113,137
2023,Nitrogen Oxides,NORTH,53,37,43,34,31,38,34,38,34,35,52,56
2023,Nitrogen Oxides,SHAM SHUI PO,66,68,68,65,56,58,56,58,61,46,57,78
2023,Nitrogen Oxides,SHATIN,39,33,40,27,30,34,35,40,27,24,36,48
2023,Nitrogen Oxides,SOUTHERN,42,39,31,37,33,33,32,38,30,26,30,52
2023,Nitrogen Oxides,TAI PO,41,33,35,29,29,34,32,36,29,30,40,48
2023,Nitrogen Oxides,TAP MUN,15,14,15,13,13,10,12,15,13,14,16,18
2023,Nitrogen Oxides,TSEUNG KWAN O,31,25,34,25,28,35,31,36,27,20,31,33
2023,Nitrogen Oxides,TSUEN WAN,61,64,55,58,55,55,53,61,49,40,47,67
2023,Nitrogen Oxides,TUEN MUN,59,69,58,48,41,42,40,46,43,44,64,86
2023,Nitrogen Oxides,TUNG CHUNG,41,47,35,35,29,29,28,33,33,32,35,62
2023,Nitrogen Oxides,YUEN LONG,55,54,56,45,43,47,47,50,51,42,62,78
2024,Nitrogen Oxides,CAUSEWAY BAY,190,192,194,185,147,158,172,227,215,167,193,216
2024,Nitrogen Oxides,CENTRAL,141,134,141,132,126,116,126,167,146,134,153,169
2024,Nitrogen Oxides,CENTRAL/WESTERN,51,49,51,37,43,23,29,39,40,33,43,50
2024,Nitrogen Oxides,KWAI CHUNG,77,68,76,89,67,79,73,114,74,53,66,75
2024,Nitrogen Oxides,KWUN TONG,57,62,63,69,55,59,59,75,65,46,58,66
2024,Nitrogen Oxides,MONG KOK,124,122,122,141,122,127,131,155,133,101,179,135
2024,Nitrogen Oxides,NORTH,47,34,38,36,30,27,28,40,39,33,49,60
2024,Nitrogen Oxides,SHAM SHUI PO,71,63,67,59,63,49,49,72,63,49,56,67
2024,Nitrogen Oxides,SHATIN,39,27,30,30,24,22,26,46,35,23,34,46
2024,Nitrogen Oxides,SOUTHERN,40,37,38,32,32,25,24,41,29,25,34,41
2024,Nitrogen Oxides,TAI PO,41,30,35,33,29,29,30,40,34,30,43,53
2024,Nitrogen Oxides,TAP MUN,14,11,13,10,8,4,5,11,7,7,12,16
2024,Nitrogen Oxides,TSEUNG KWAN O,28,27,33,34,22,27,25,41,34,16,22,33
2024,Nitrogen Oxides,TSUEN WAN,57,68,63,63,50,52,50,68,45,38,46,62
2024,Nitrogen Oxides,TUEN MUN,76,58,55,49,51,40,33,49,46,42,64,77
2024,Nitrogen Oxides,TUNG CHUNG,55,52,42,28,40,21,22,37,40,35,53,59
2024,Nitrogen Oxides,YUEN LONG,63,53,46,45,41,39,43,50,47,36,52,65
2025,Nitrogen Oxides,CAUSEWAY BAY,204,184,211,192,168,173,195,176,173,170,191,204
2025,Nitrogen Oxides,CENTRAL,152,135,162,140,116,113,137,133,126,138,178,179
2025,Nitrogen Oxides,CENTRAL/WESTERN,48,47,65,47,31,23,29,31,30,33,41,53
2025,Nitrogen Oxides,KWAI CHUNG,77,71,91,87,63,69,86,76,68,53,64,87
2025,Nitrogen Oxides,KWUN TONG,64,62,72,69,56,61,71,61,56,49,59,69
2025,Nitrogen Oxides,MONG KOK,125,116,134,135,123,130,156,133,123,112,112,140
2025,Nitrogen Oxides,NORTH,57,34,48,40,33,33,37,42,39,36,49,66
2025,Nitrogen Oxides,SHAM SHUI PO,69,64,72,67,51,49,63,55,49,46,51,72
2025,Nitrogen Oxides,SHATIN,44,27,44,39,27,27,39,33,32,29,38,53
2025,Nitrogen Oxides,SOUTHERN,35,36,44,39,29,22,31,26,22,24,29,36
2025,Nitrogen Oxides,TAI PO,48,31,40,38,30,32,33,31,29,31,42,49
2025,Nitrogen Oxides,TAP MUN,14,11,14,11,7,5,12,14,7,9,10,13
2025,Nitrogen Oxides,TSEUNG KWAN O,29,21,36,35,25,26,32,29,23,18,20,30
2025,Nitrogen Oxides,TSUEN WAN,64,63,76,65,48,47,54,45,42,38,47,62
2025,Nitrogen Oxides,TUEN MUN,81,64,72,60,40,38,44,41,41,47,64,84
2025,Nitrogen Oxides,TUNG CHUNG,48,49,54,38,25,21,29,27,30,29,34,42
2025,Nitrogen Oxides,YUEN LONG,61,49,60,52,41,39,48,44,48,39,48,71
